Company Name,Business Name,Street Address,City,Burrough,Province,Postal Code,Telephone Number,Line of Business,Latitude,Longitude,Primary NAICS,Primary SIC,Sales Volume,Total Employees,Local Employees,Year Started
"7-ELEVEN CANADA, INC",7-ELEVEN STORE #24412,1151 QUEEN ST E,Toronto,TORONTO,Ontario,M4M 1L3,,"GROCERY STORES, NSK",43.66214,-79.333831,445120,54110200,$0.00 ,0,11,
1410909 ONTARIO LTD,ABC BAKERY AND COFFEE SHOP,3618 VICTORIA PARK AVE,Toronto,TORONTO,Ontario,M2H 3B2,4164933151,EATING PLACES,43.806908,-79.337704,722513,58120304,"$297,233.00 ",10,10,
ABSINTHE COFFEE HOUSE,ABSINTHE PUB & COFFEE SHOP,4700 KEELE ST,Toronto,NORTH YORK,Ontario,M3J 1P3,4167365441,EATING PLACES,43.774561,-79.494008,722511,58120000,"$579,224.00 ",20,20,1974
ALTERNATIVE GROUNDS COFFEE HOUSE & ROASTERY INC,ALTERNATIVE GROUNDS,87 WADE AVE SUITE 102B,Toronto,TORONTO,Ontario,M6H 1P5,4165346335,"COMMERCIAL EQUIPMENT, NEC",43.65992,-79.445721,423440,50460302,"$2,042,900.00 ",15,15,1995
TAN COFFEE TORONTO,"ALTERNATIVE NETWORK, THE",992 QUEEN ST W,Toronto,TORONTO,Ontario,M6J 1H1,,EATING PLACES,43.64453,-79.418361,722513,58120304,"$145,921.00 ",4,4,2008
ARAMARK CANADA LTD.,ARAMARK REFRESHMENT SERVICES,5055 SATELLITE DR UNIT 4,Toronto,MISSISSAUGA,Ontario,L4W 5K7,4162318499,"MERCHANDISING MACHINE OPERATORS, NSK",43.62196,-79.549051,454210,59620201,$0.00 ,0,40,
AROMA ESPRESSO BAR CANADA INC,AROMA ESPRESSO BAR,500 BLOOR ST W,Toronto,TORONTO,Ontario,M5S 1Y3,4165367750,EATING PLACES,43.6655,-79.410231,722513,58120304,$0.00 ,0,20,
2198888 ONTARIO LTD,B EXPRESSO BAR,273 BLOOR ST W,Toronto,TORONTO,Ontario,M5S 1W2,4165060001,EATING PLACES,43.66786,-79.396021,722513,58120304,"$297,233.00 ",10,10,2009
792851 ONTARIO INC,BAKERS DOZEN DONUTS,3685 KEELE ST UNIT 7,Toronto,NORTH YORK,Ontario,M3J 3H6,4167027388,EATING PLACES,43.75408,-79.487681,722513,58120304,"$189,698.00 ",6,6,1988
1413880 ONTARIO INC,BAKER'S DOZEN DONUTS,4410 KINGSTON RD,Toronto,SCARBOROUGH,Ontario,M1E 2N5,,EATING PLACES,43.76822,-79.190301,722513,58120304,"$173,250.00 ",4,4,2000
BALZAC'S COFFEE LTD,BALZACS COFFEE,789 YONGE ST,Toronto,TORONTO,Ontario,M4W 2G8,4169223700,EATING PLACES,43.67188,-79.386631,722513,58120304,$0.00 ,0,1,
BOTA FOGO,BAR CAFE,1631 DUNDAS ST W,Toronto,TORONTO,Ontario,M6K 1V2,4165382628,EATING PLACES,43.64963,-79.436071,722513,58120304,"$152,427.00 ",4,4,2000
2038964 ONTARIO INC,BASKIN ROBBIN,300 BOROUGH DR UNIT 2,Toronto,SCARBOROUGH,Ontario,M1P 4P5,4162969497,EATING PLACES,43.775449,-79.254023,722513,58120304,"$145,921.00 ",4,4,2004
"BEASLEY, WILLIAM ENTERPRISES LIMITED",BEASLEY AMUSEMENTS,84 ADVANCE RD,Toronto,ETOBICOKE,Ontario,M8Z 2T7,4162342345,"AMUSEMENT AND RECREATION, NEC, NSK",43.63528,-79.523531,713990,79991505,"$580,388.00 ",10,3,1993
BRAZILIAN CANADIAN COFFEE CO. LTD,BRAZILIAN COFFEE,1260 MARTIN GROVE RD,Toronto,ETOBICOKE,Ontario,M9W 4X3,4167492000,"GROCERIES AND RELATED PRODUCTS, NEC, NSK",43.70797,-79.579421,424490,51490901,"$6,420,542.00 ",45,45,1974
BERNATE FOOD LTD,CAFE BERNATE,1024 QUEEN ST W,Toronto,TORONTO,Ontario,M6J 1H6,,EATING PLACES,43.64427,-79.419701,722513,58120304,"$75,452.00 ",2,2,1991
CAFE CON LECHE,CAFE CON LECHE ESPRESSO BAR,1571 DUPONT ST,Toronto,TORONTO,Ontario,M6P 3S5,6477483322,EATING PLACES,43.665217,-79.453379,722513,58120304,"$72,231.00 ",2,2,2012
2261381 ONTARIO INC,CAFE FRAPPE,519 DANFORTH AVE,Toronto,TORONTO,Ontario,M4K 1P5,4164620693,EATING PLACES,43.67795,-79.348521,722513,58120304,"$221,020.00 ",7,7,1997
IMAGING GRACE FINE FOODS INC,CAFE NOUVELLE,5353 DUNDAS ST W SUITE 104,Toronto,ETOBICOKE,Ontario,M9B 6H8,,EATING PLACES,43.6361,-79.539261,722513,58120304,"$75,452.00 ",2,2,
CEYLAN LTD,CAFE ON THE GO,819 BATHURST ST,Toronto,TORONTO,Ontario,M5R 3G2,,EATING PLACES,43.66618,-79.411251,722513,58120304,"$72,231.00 ",2,2,2000
TRANSIT CAFE INC,CAFE ON THE GO,1226 ISLINGTON AVE,Toronto,ETOBICOKE,Ontario,M8X 1Y8,4162398756,EATING PLACES,43.64522,-79.524011,722513,58120304,"$175,292.00 ",5,5,1986
2159859 ONTARIO INC,CAFE SUPREME,55 EGLINTON AVE E UNIT 101,Toronto,TORONTO,Ontario,M4P 1G8,,EATING PLACES,43.70691,-79.396041,722513,58120304,"$167,810.00 ",5,5,
CAFFE BICKFORD INC,CAFFE BICKFORD,326 HARBORD ST,Toronto,TORONTO,Ontario,M6G 1H1,,EATING PLACES,43.659693,-79.418847,722513,58120304,"$145,921.00 ",4,4,2012
1116907 ONTARIO LTD,CAFFE DEMETRE,2962 BLOOR ST W,Toronto,ETOBICOKE,Ontario,M8X 1B7,4162342233,EATING PLACES,43.648028,-79.508721,722513,58120304,"$114,321.00 ",3,3,1995
1184366 ONTARIO INC,CAFFE DEMETRE UPTOWN,188 EGLINTON AVE E,Toronto,TORONTO,Ontario,M4P 2X7,4164854610,EATING PLACES,43.70831,-79.392581,722513,58120304,"$297,233.00 ",10,10,1996
MAPLELEAF AGRO INC,CANADA FRESH,1120 FINCH AVE W UNIT 701,Toronto,NORTH YORK,Ontario,M3J 3H7,6475457225,"NONDURABLE GOODS, NEC, NSK",43.767042,-79.475222,424990,51990803,"$554,501.00 ",5,5,2017
1390825 ONTARIO INC,CAPRICORN CAFE,191 THE WEST MALL SUITE 105,Toronto,ETOBICOKE,Ontario,M9C 5K8,4166266086,EATING PLACES,43.62589,-79.557841,722513,58120304,"$75,452.00 ",2,2,
CHOCOSOL TRADERS,CHOCOSOL,6 ST JOSEPH ST,Toronto,TORONTO,Ontario,M4Y 1J7,4169236675,"CHOCOLATE AND COCOA PRODUCTS, NSK",43.6661,-79.385601,311351,20660300,"$4,378.00 ",1,1,2005
K.C.C. CHOOKA CABINET LTD,CHOOKAKITCHENS & MILLWORK,36 LEPAGE CRT,Toronto,NORTH YORK,Ontario,M3J 1Z9,4166368964,WOOD KITCHEN CABINETS,43.759071,-79.485241,337110,24340000,"$609,710.00 ",10,10,1990
1387378 ONTARIO LTD,CHRISA COFFEE SHOP,726 BLOOR ST W,Toronto,TORONTO,Ontario,M6G 4A1,,EATING PLACES,43.663699,-79.41806,722513,58120304,"$284,547.00 ",10,10,
CENTRE ISLAND FOOD SERVICES LTD,CI FOODS,84 ADVANCE RD,Toronto,ETOBICOKE,Ontario,M8Z 2T7,4162342345,EATING PLACES,43.63528,-79.523531,722320,58129903,"$2,598,753.00 ",80,80,2002
CLASSIC THEATRE LTD,CLASSIC THEATRE,1300 GERRARD ST E,Toronto,TORONTO,Ontario,M4L 1Y7,,REAL ESTATE AGENTS AND MANAGERS,43.67137,-79.327191,531210,65310401,"$99,078.00 ",1,1,
KRAFT HEINZ CANADA ULC,CLASSICO GOURMET,95 MOATFIELD DR SUITE 316,Toronto,NORTH YORK,Ontario,M3B 3L6,4164415000,CEREAL BREAKFAST FOODS,43.76009,-79.350291,311230,20430000,"$9,690,648,169.00 ","4,656",350,1920
SUN & TAN INC,COFFEE 250,250 CONSUMERS RD UNIT 102,Toronto,NORTH YORK,Ontario,M2J 4V6,,EATING PLACES,43.77182,-79.330821,722511,58120000,"$85,759.00 ",2,2,1999
1203412 ONTARIO INC,COFFEE AND ALL THAT JAZZ,72 HOWARD PARK AVE,Toronto,TORONTO,Ontario,M6R 1V6,4165317622,EATING PLACES,43.65152,-79.451551,722513,58120304,"$297,233.00 ",10,10,2009
1697756 ONTARIO INC,COFFEE CLUB,1630 ALBION RD,Toronto,ETOBICOKE,Ontario,M9V 5H5,6474398077,RETAIL BAKERIES,43.74197,-79.593091,445291,54619905,"$866,251.00 ",22,22,2006
1256688 ONTARIO INC,COFFEE COURT,60 QUEEN ST W,Toronto,TORONTO,Ontario,M5H 2M4,4166034013,EATING PLACES,43.6521,-79.381711,722513,58120304,"$167,810.00 ",5,5,2004
T & A TRADING & INVESTMENTS LTD,COFFEE DELUXE,707 KENNEDY RD,Toronto,SCARBOROUGH,Ontario,M1K 2C1,,EATING PLACES,43.728247,-79.266188,722513,58120304,"$72,231.00 ",2,2,1993
1320618 ONTARIO INC,COFFEE DOME & DONUTS,2223 KINGSTON RD,Toronto,SCARBOROUGH,Ontario,M1N 1T8,4162616027,EATING PLACES,43.70413,-79.252171,722513,58120304,"$114,321.00 ",3,3,1998
1549676 ONTARIO INC,COFFEE KING,1519 BIRCHMOUNT RD,Toronto,SCARBOROUGH,Ontario,M1P 2H2,,RETAIL BAKERIES,43.75937,-79.289321,445291,54619905,"$167,810.00 ",5,5,
699537 ONTARIO LIMITED,COFFEE MAGIC,4483 CHESSWOOD DR,Toronto,NORTH YORK,Ontario,M3J 2C3,,"MISCELLANEOUS FOOD STORES, NSK",43.76412,-79.476041,445299,54990201,"$205,777.00 ",4,4,1987
1502896 ONTARIO LIMITED,"COFFEE MASTER'S DELI & DONUTS, THE",98 ISLAND RD SUITE 4,Toronto,SCARBOROUGH,Ontario,M1C 2P5,,EATING PLACES,43.79838,-79.139481,722511,58120000,"$175,292.00 ",5,5,2001
982935 ONTARIO LIMITED,"COFFEE MILL, THE",99 YORKVILLE AVE,Toronto,TORONTO,Ontario,M5R 3K5,,EATING PLACES,43.67076,-79.391831,722511,58120000,"$434,418.00 ",15,15,1963
1156828 ONTARIO INC,COFFEE TIME,2282 ISLINGTON AVE,Toronto,ETOBICOKE,Ontario,M9W 3W8,4167443053,EATING PLACES,43.715359,-79.555372,722513,58120304,"$284,547.00 ",10,10,1995
1339938 ONTARIO LTD,COFFEE TIME,1188 KING ST W,Toronto,TORONTO,Ontario,M6K 1E6,,EATING PLACES,43.63919,-79.427061,722513,58120304,"$175,292.00 ",5,5,1999
1802366 ONTARIO INC,COFFEE TIME,1287 BLOOR ST W,Toronto,TORONTO,Ontario,M6H 1N7,4165358511,EATING PLACES,43.65832,-79.442527,722513,58120304,"$284,547.00 ",10,10,
2044032 ONTARIO LTD,COFFEE TIME,371 OLD KINGSTON RD,Toronto,TORONTO,Ontario,M1C 1B7,4162087546,EATING PLACES,43.783681,-79.169994,722513,58120304,"$297,233.00 ",10,10,
6609902 CANADA INC,COFFEE TIME,1220 WOODBINE AVE,Toronto,TORONTO,Ontario,M4C 4E3,,EATING PLACES,43.6923,-79.315971,722513,58120304,"$72,231.00 ",2,2,
CHAIRMAN'S BRAND CORPORATION,COFFEE TIME,77 PROGRESS AVE,Toronto,SCARBOROUGH,Ontario,M1P 2Y7,4162888515,PATENT OWNERS AND LESSORS,43.77141,-79.275761,533110,67949902,"$3,027.00 ",150,50,1994
COFFEE TIME DONUTS INC,COFFEE TIME,4916 DUNDAS ST W,Toronto,ETOBICOKE,Ontario,M9A 1B7,,RETAIL BAKERIES,43.648794,-79.528801,311811,54610000,"$167,810.00 ",5,5,2000
COFFEE TIME DONUTS INCORPORATED,COFFEE TIME,1471 EGLINTON AVE W,Toronto,TORONTO,Ontario,M6E 2G6,4167814638,EATING PLACES,43.69787,-79.439101,722513,58120304,$0.00 ,0,5,
COFFEE TIME DONUTS INCORPORATED,COFFEE TIME,2819 KINGSTON RD,Toronto,SCARBOROUGH,Ontario,M1M 1N2,,EATING PLACES,43.72103,-79.237004,722513,58120304,$0.00 ,0,3,
CANADIAN INTERNATIONAL TRADING DEVELOPMENT INC,COFFEE TIME CAFE,1504 MARKHAM RD,Toronto,SCARBOROUGH,Ontario,M1B 2V9,,EATING PLACES,43.78893,-79.237401,722513,58120304,"$167,810.00 ",5,5,
DADIREK INC,COFFEE TIME DONUT,1327 MARTIN GROVE RD,Toronto,ETOBICOKE,Ontario,M9W 4X5,,EATING PLACES,43.71418,-79.580931,722513,58120304,"$243,884.00 ",8,8,1997
1157543 ONTARIO LTD,COFFEE TIME DONUTS,1647 QUEEN ST W,Toronto,TORONTO,Ontario,M6R 1A9,,EATING PLACES,43.63866,-79.445751,722513,58120304,"$75,452.00 ",2,2,1996
1226507 ONTARIO INC,COFFEE TIME DONUTS,2131 LAWRENCE AVE E SUITE R9,Toronto,SCARBOROUGH,Ontario,M1R 5G4,4162886068,RETAIL BAKERIES,43.74612,-79.288261,445291,54619905,"$251,505.00 ",7,7,1997
