Column1,Scenario,Year,Unit,Variable,Value
1,Current Measures,2005,Megatonnes,Total,726.6763899
507,Global Net-zero,2005,Megatonnes,Total,726.6763899
1013,Canada Net-zero,2005,Megatonnes,Total,726.6763899
2,Current Measures,2006,Megatonnes,Total,705.9536556
508,Global Net-zero,2006,Megatonnes,Total,705.9536556
1014,Canada Net-zero,2006,Megatonnes,Total,705.9536556
3,Current Measures,2007,Megatonnes,Total,731.1936004
509,Global Net-zero,2007,Megatonnes,Total,731.1936004
1015,Canada Net-zero,2007,Megatonnes,Total,731.1936004
4,Current Measures,2008,Megatonnes,Total,709.4252621
510,Global Net-zero,2008,Megatonnes,Total,709.4252621
1016,Canada Net-zero,2008,Megatonnes,Total,709.4252621
5,Current Measures,2009,Megatonnes,Total,640.7542124
511,Global Net-zero,2009,Megatonnes,Total,640.7542124
1017,Canada Net-zero,2009,Megatonnes,Total,640.7542124
6,Current Measures,2010,Megatonnes,Total,683.6945432
512,Global Net-zero,2010,Megatonnes,Total,683.6945432
1018,Canada Net-zero,2010,Megatonnes,Total,683.6945432
7,Current Measures,2011,Megatonnes,Total,699.3620681
513,Global Net-zero,2011,Megatonnes,Total,699.3620681
1019,Canada Net-zero,2011,Megatonnes,Total,699.3620681
8,Current Measures,2012,Megatonnes,Total,695.1828002
514,Global Net-zero,2012,Megatonnes,Total,695.1828002
1020,Canada Net-zero,2012,Megatonnes,Total,695.1828002
9,Current Measures,2013,Megatonnes,Total,703.3631081
515,Global Net-zero,2013,Megatonnes,Total,703.3631081
1021,Canada Net-zero,2013,Megatonnes,Total,703.3631081
10,Current Measures,2014,Megatonnes,Total,680.8794882
516,Global Net-zero,2014,Megatonnes,Total,680.8794882
1022,Canada Net-zero,2014,Megatonnes,Total,680.8794882
11,Current Measures,2015,Megatonnes,Total,722.9403172
517,Global Net-zero,2015,Megatonnes,Total,722.9403172
1023,Canada Net-zero,2015,Megatonnes,Total,722.9403172
12,Current Measures,2016,Megatonnes,Total,693.9699381
518,Global Net-zero,2016,Megatonnes,Total,693.9699381
1024,Canada Net-zero,2016,Megatonnes,Total,693.9699381
13,Current Measures,2017,Megatonnes,Total,696.005531
519,Global Net-zero,2017,Megatonnes,Total,696.005531
1025,Canada Net-zero,2017,Megatonnes,Total,696.005531
14,Current Measures,2018,Megatonnes,Total,713.3213292
520,Global Net-zero,2018,Megatonnes,Total,713.3213292
1026,Canada Net-zero,2018,Megatonnes,Total,713.3213292
15,Current Measures,2019,Megatonnes,Total,704.8581894
521,Global Net-zero,2019,Megatonnes,Total,704.8581894
1027,Canada Net-zero,2019,Megatonnes,Total,704.8581894
16,Current Measures,2020,Megatonnes,Total,645.4005013
47,Current Measures,2005,Megatonnes,Oil and Gas,168.3348684
48,Current Measures,2006,Megatonnes,Oil and Gas,174.649542
49,Current Measures,2007,Megatonnes,Oil and Gas,179.8193852
50,Current Measures,2008,Megatonnes,Oil and Gas,176.5491302
51,Current Measures,2009,Megatonnes,Oil and Gas,173.7762869
52,Current Measures,2010,Megatonnes,Oil and Gas,179.3210679
53,Current Measures,2011,Megatonnes,Oil and Gas,184.7988916
54,Current Measures,2012,Megatonnes,Oil and Gas,192.1420878
55,Current Measures,2013,Megatonnes,Oil and Gas,196.8323303
56,Current Measures,2014,Megatonnes,Oil and Gas,202.3808556
57,Current Measures,2015,Megatonnes,Oil and Gas,203.0549719
58,Current Measures,2016,Megatonnes,Oil and Gas,191.4577309
59,Current Measures,2017,Megatonnes,Oil and Gas,194.0205764
60,Current Measures,2018,Megatonnes,Oil and Gas,202.4932109
61,Current Measures,2019,Megatonnes,Oil and Gas,201.3172404
62,Current Measures,2020,Megatonnes,Oil and Gas,183.3540268
63,Current Measures,2021,Megatonnes,Oil and Gas,189.1523515
64,Current Measures,2022,Megatonnes,Oil and Gas,191.4234074
65,Current Measures,2023,Megatonnes,Oil and Gas,192.6290842
66,Current Measures,2024,Megatonnes,Oil and Gas,188.0323064
67,Current Measures,2025,Megatonnes,Oil and Gas,187.3806341
68,Current Measures,2026,Megatonnes,Oil and Gas,186.5061886
